Date,Last,First
1948,Apr-27 (1948),Oct-27 (1948)
1949,Mar-31 (1949),Oct-18 (1949)
1950,Apr-24 (1950),Nov-09 (1950)
1951,May-01 (1951),Oct-30 (1951)
1952,Apr-29 (1952),Nov-02 (1952)
1953,Apr-10 (1953),Oct-23 (1953)
1954,May-01 (1954),Oct-25 (1954)
1955,Apr-28 (1955),Nov-11 (1955)
1956,Apr-06 (1956),Oct-28 (1956)
1957,Feb-23 (1957),Nov-04 (1957)
1958,Mar-14 (1958),Nov-15 (1958)
1959,Mar-20 (1959),Nov-07 (1959)
1960,Mar-14 (1960),Nov-20 (1960)
1961,Apr-20 (1961),Nov-05 (1961)
1962,Mar-28 (1962),Nov-28 (1962)
1963,Apr-02 (1963),Nov-19 (1963)
1964,Mar-19 (1964),Nov-14 (1964)
1965,Mar-27 (1965),Nov-23 (1965)
1966,Mar-22 (1966),Nov-08 (1966)
1967,Mar-13 (1967),Nov-21 (1967)
1968,Mar-30 (1968),Dec-06 (1968)
1969,Mar-12 (1969),Nov-27 (1969)
1970,Mar-02 (1970),Oct-27 (1970)
1971,Mar-21 (1971),Oct-28 (1971)
1972,Mar-07 (1972),Dec-03 (1972)
1973,Mar-19 (1973),Nov-05 (1973)
1974,Mar-08 (1974),Nov-04 (1974)
1975,Apr-05 (1975),Nov-17 (1975)
1976,Apr-02 (1976),Nov-26 (1976)
1977,Feb-03 (1977),Nov-08 (1977)
1978,Mar-01 (1978),Nov-11 (1978)
1979,Feb-22 (1979),Nov-01 (1979)
1980,Mar-06 (1980),Nov-11 (1980)
1981,Feb-11 (1981),Nov-24 (1981)
1982,Mar-17 (1982),Nov-10 (1982)
1983,Feb-05 (1983),Dec-01 (1983)
1984,Feb-05 (1984),Oct-31 (1984)
1985,Apr-21 (1985),Oct-29 (1985)
1986,Feb-20 (1986),Nov-10 (1986)
1987,Feb-25 (1987),Nov-17 (1987)
1988,Mar-11 (1988),Nov-30 (1988)
1989,Mar-20 (1989),Dec-11 (1989)
1990,Mar-13 (1990),Nov-18 (1990)
1991,Mar-27 (1991),Oct-30 (1991)
1992,Feb-16 (1992),Nov-23 (1992)
1993,Feb-28 (1993),Nov-22 (1993)
1994,Mar-23 (1994),Nov-17 (1994)
1995,Mar-03 (1995),Nov-03 (1995)
1996,Mar-02 (1996),Oct-31 (1996)
1997,Apr-02 (1997),Dec-06 (1997)
1998,Mar-29 (1998),Dec-19 (1998)
1999,Mar-28 (1999),Dec-24 (1999)
2000,Mar-20 (2000),Nov-11 (2000)
2001,Mar-03 (2001),Oct-28 (2001)
2002,Mar-20 (2002),Nov-02 (2002)
2003,Feb-26 (2003),Oct-31 (2003)
2004,Mar-02 (2004),Nov-04 (2004)
2005,Feb-23 (2005),Nov-15 (2005)
2006,Mar-12 (2006),Oct-30 (2006)
2007,Mar-21 (2007),Nov-02 (2007)
2008,Apr-01 (2008),Dec-13 (2008)
2009,Mar-21 (2009),Nov-14 (2009)
2010,Mar-09 (2010),Nov-21 (2010)
2011,Feb-26 (2011),Nov-06 (2011)
2012,Mar-19 (2012),Nov-10 (2012)
2013,Mar-04 (2013),Nov-21 (2013)
2014,Feb-09 (2014),Nov-12 (2014)
2015,Mar-04 (2015),Nov-23 (2015)
2016,Jan-09 (2016),Dec-06 (2016)
2017,Feb-25 (2017),Dec-08 (2017)
2018,Feb-26 (2018),Dec-04 (2018)
2019,Mar-10 (2019),Nov-28 (2019)
2020,Mar-15 (2020),Nov-09 (2020)
2021,Mar-08 (2021),Nov-17 (2021)
2022,Apr-13 (2022),Nov-09 (2022)
2023,Mar-27 (2023),Oct-29 (2023)
